"CEL_ID","ORG_ID","CEL_ORG_USERCREATION","CEL_ORG_USERUPDATE","CEL_ORG_DATECREATION","CEL_ORG_DATEUPDATE"
27,38,"GDEROEP","",09/06/05,
59,64,"PGERARD","",28/07/08,
31,38,"PGERARD","",25/05/04,
16,29,"PGERARD","",04/05/04,
49,42,"GDEROEP","",18/11/04,
32,28,"PGERARD","",25/05/04,
30,30,"PGERARD","",13/05/04,
34,31,"PGERARD","",03/06/04,
35,32,"PGERARD","",08/06/04,
48,32,"PGERARD","",12/11/04,
23,36,"GDEROEP","",11/06/04,
46,35,"PGERARD","",02/09/04,
28,38,"PGERARD","",23/06/04,
47,30,"PGERARD","",12/11/04,
37,37,"PGERARD","",07/07/04,
38,37,"PGERARD","",08/07/04,
39,37,"PGERARD","",08/07/04,
40,37,"PGERARD","",08/07/04,
41,37,"PGERARD","",08/07/04,
42,37,"PGERARD","",08/07/04,
43,37,"PGERARD","",08/07/04,
50,39,"GDEROEP","",01/12/04,
15,30,"PGERARD","",10/05/04,
44,37,"PGERARD","",09/07/04,
22,36,"PGERARD","",11/05/04,
24,36,"PGERARD","",11/05/04,
18,32,"PGERARD","",11/05/04,
20,32,"PGERARD","",11/05/04,
52,32,"PGERARD","",11/05/05,
26,36,"PGERARD","",11/05/04,
19,32,"PGERARD","",11/05/04,
21,28,"PGERARD","",11/05/04,
33,31,"PGERARD","",01/06/04,
36,28,"PGERARD","",30/06/04,
45,40,"PGERARD","",10/08/04,
53,38,"PGERARD","",18/10/05,
54,38,"PGERARD","",18/10/05,
55,38,"PGERARD","",18/10/05,
56,38,"PGERARD","",18/10/05,
57,38,"PGERARD","",18/10/05,
51,38,"PGERARD","",28/07/08,
60,38,"PGERARD","",28/07/08,
25,36,"PGERARD","",27/07/09,
64,36,"PGERARD","",27/07/09,
48,30,"PGERARD","",28/07/09,
66,69,"PGERARD","",29/07/09,
58,40,"PGERARD","",06/09/06,
61,36,"PGERARD","",18/08/08,
62,36,"PGERARD","",19/08/08,
63,36,"PGERARD","",19/08/08,
