"FCT_ID","FCT_CODEFR","FCT_DESCRIPTIONDU","FCT_USERCREATION","FCT_CODEDU","FCT_DATEUPDATE","FCT_CODEEN","FCT_DESCRIPTIONFR","FCT_DESCRIPTIONEN","FCT_USERUPDATE","FCT_DATECREATION"
37,"RESPONSABLE","VERANTWOORDELIKE","GDEROEP","VERANTWOORDELIKE",,"RESPONSIBLE","RESPONSABLE","RESPONSIBLE","",10/06/05
42,"DIRECTEUR GENERAL FF","DIRECTEUR GENERAAL DD","PGERARD","DIRECTEUR GENERAAL DD",13/08/09,"DIRECTOR GENERAL (ACTING)","DIRECTEUR GENERAL FF","DIRECTOR GENERAL (ACTING)","GDEROEP",31/07/08
14,"ATTACHE","","PGERARD","ATTACHE",07/06/04,"ATTACHE","","","PGERARD",04/05/04
22,"INSPECTEUR GENERAL","","PGERARD","INSPECTEUR-GENERAAL",29/06/04,"GENERAL INSPECTOR","","","GDEROEP",25/05/04
34,"CONSEILLER ADJOINT","","GDEROEP","ADJUNCT-ADVISEUR",01/12/04,"CONSEILLER ADJOINT","","","GDEROEP",18/11/04
21,"REPRESENTANT DE LA RBC AUPRES DE L' UE","","PGERARD","VERTEGENWOORDIGER VAN HET BHG BIJ DE EU",27/07/04,"REPRESENTANT","","","GDEROEP",13/05/04
17,"ADMINISTRATEUR DIRECTEUR GENERAL","","PGERARD","ADMINISTRATEUR-DIRECTEUR-GENERAAL",22/02/05,".","","","GDEROEP",11/05/04
18,"INGENIEUR-DIRECTEUR FF","","PGERARD","INGENIEUR-DIRECTEUR DD",12/05/04,"INGENIEUR-DIRECTEUR FF","","","GDEROEP",11/05/04
19,"DIRECTEUR","","PGERARD","DIRECTEUR",11/06/04,"DIRECTOR","","","GDEROEP",11/05/04
20,"INGENIEUR","","PGERARD","INGENIEUR",11/06/04,"ENGINEER","","","GDEROEP",11/05/04
23,"ASSISTANT","","PGERARD","ASSISTENT",29/06/04,"ASSISTANT","","","GDEROEP",07/06/04
24,"EURO CONSEILLER","","PGERARD","EURO-ADVISEUR",18/11/04,"EURO COUNSELLOR","","","GDEROEP",21/06/04
25,"PREMIER INGENIEUR","","PGERARD","EERSTE INGENIEUR",29/06/04,"PREMIER INGENIEUR","","","GDEROEP",23/06/04
32,"SECRETAIRE GENERAL","","PGERARD","SECRETARIS-GENERAAL",,"SECRETAIRE GENERAL","","","",30/08/04
33,"EXPERT","DESKUNDIGE","PGERARD","DESKUNDIGE",25/04/07,"EXPERT","EXPERT","EXPERT","GDEROEP",02/09/04
36,"INGENIEUR DIRECTEUR","INGENIEUR DIRECTEUR","PGERARD","INGENIEUR DIRECTEUR",,"INGENIEUR DIRECTEUR","INGENIEUR DIRECTEUR","INGENIEUR DIRECTEUR","",04/03/05
26,"DELEGUE GENERAL","","PGERARD","AFGEVAARDIGD BEHEERDER",27/07/04,"DELEGUE GENERAL","","","GDEROEP",08/07/04
27,"INGENIEUR - CHEF DE SERVICE","","PGERARD","INGENIEUR - DIENSTHOOFD",27/07/04,"INGENIEUR - CHEF DE SERVICE","","","GDEROEP",08/07/04
28,"INGENIEUR EN CHEF","","PGERARD","HOOFDINGENIEUR",27/07/04,"INGENIEUR EN CHEF","","","GDEROEP",08/07/04
29,"CHEF DE SECTION","","PGERARD","SECTIEHOOFD",26/07/04,"CHEF DE SECTION","","","GDEROEP",08/07/04
31,"DIRECTEUR GENERAL ADJOINT FF","","PGERARD","ADJUNCT-DIRECTEUR-GENERAAL DD",05/11/04,"DIRECTEUR GENERAL ADJOINT FF","","","GDEROEP",09/08/04
35,"CONSEILLER","","GDEROEP","ADVISEUR",01/12/04,"CONSEILLER","","","GDEROEP",01/12/04
15,"PREMIER ATTACHE","","PGERARD","EERSTE ATTACHE",11/06/04,"FIRST ATTACHE","","","GDEROEP",10/05/04
30,"INSPECTEUR EN CHEF","","PGERARD","HOOFDINSPECTEUR",27/07/04,"INSPECTEUR EN CHEF","","","GDEROEP",09/07/04
38,"DIRECTEUR GENERAL","","PGERARD","DIRECTEUR GENERAL",18/10/05,"DIRECTEUR GENERAL","","","PGERARD",18/10/05
44,"GENERAL MANAGER","GENERAL MANAGER","PGERARD","GENERAL MANAGER",,"GENERAL MANAGER","GENERAL MANAGER","GENERAL MANAGER","",21/01/09
45,"DIRECTEUR GENERAL ADJOINT","DIRECTEUR GENERAL ADJOINT","PGERARD","DIRECTEUR GENERAL ADJOINT",,"DIRECTEUR GENERAL ADJOINT","DIRECTEUR GENERAL ADJOINT","DIRECTEUR GENERAL ADJOINT","",21/01/09
46,"CONSEILLER JURIDIQUE","CONSEILLER JURIDIQUE","PGERARD","CONSEILLER JURIDIQUE",,"CONSEILLER JURIDIQUE","CONSEILLER JURIDIQUE","CONSEILLER JURIDIQUE","",27/07/09
47,"COORDINATEUR","COORDINATEUR","PGERARD","COORDINATEUR",,"COORDINATEUR","COORDINATEUR","COORDINATEUR","",28/07/09
39,"INFORMATICIEN-CHEF DE PROJET","INFORMATICUS - PROJECTHOOFD","PGERARD","INFORMATICUS - PROJECTHOOFD",25/04/07,"COMPUTER SCIENTIST - HEAD OF PROJECT","INFORMATICIEN-CHEF DE PROJET","COMPUTER SCIENTIST - HEAD OF PROJECT","GDEROEP",06/09/06
40,"ECHEVIN","SCHEPEN","PGERARD","SCHEPEN",25/04/07,"ALDERMAN","ECHEVIN","ALDERMAN","GDEROEP",13/02/07
41,"BOURGMESTRE","BURGEMEESTER","PGERARD","BURGEMEESTER",25/04/07,"MAYOR","BOURGMESTRE","MAYOR","GDEROEP",13/02/07
43,"ADMINISTRATEUR DELEGUE","ADMINISTRATEUR DELEGUE","PGERARD","ADMINISTRATEUR DELEGUE",,"ADMINISTRATEUR DELEGUE","ADMINISTRATEUR DELEGUE","ADMINISTRATEUR DELEGUE","",12/08/08
