"KW_ID","KW_USERUPDATE","KW_NAMEFR","KW_NAMEDU","KW_DATEUPDATE","KW_USERCREATION","KW_NAMEEN","KW_DATECREATION"
53,"","TOURISME","TOERISME",,"PGERARD","TOERISME",10/05/04
54,"","TRANSPORT","VERVOER",,"PGERARD","VERVOER",10/05/04
55,"","TRAVAUX PUBLICS","OPENBARE WERKEN",,"PGERARD","OPENBARE WERKEN",10/05/04
56,"","URBANISME ET RENOVATION URBAINE","STEDENBOUW EN STADVERNIEUWING",,"PGERARD","STEDENBOUW EN STADVERNIEUWING",10/05/04
57,"","AUTRES","ANDERE",,"PGERARD","OTHERS",10/05/04
47,"","LOGEMENT","HUISVESTING",,"PGERARD","HOUSING",04/05/04
58,"","DIVERS","ALLERLEI",,"GDEROEP","DIVERS",11/05/04
46,"","FINANCE ET BUDGET","FINANCIEN EN BEGROTING",,"PGERARD","FINANCIEN EN BEGROTING",04/05/04
48,"","PATRIMOINE","PATRIMONIUM",,"PGERARD","PATRIMONIUM",10/05/04
49,"","POLITIQUE SOCIALE","SOCIAAL BELEID",,"PGERARD","SOCIAAL BELEID",10/05/04
50,"","RELATIONS EXTERIEURES","EXTERNE BETREKKINGEN",,"PGERARD","EXTERNE BETREKKINGEN",10/05/04
51,"","R§D","R§D",,"PGERARD","R§D",10/05/04
52,"","SECURITE","VEILIGHEID",,"PGERARD","SECURITY",10/05/04
